id,Наименование,Регулярная цена,Промо цена,Бренд
278383,"Лакомство для собак DENT Снек жевательный со вкусом говядины для мелких собак, 35г",44.99 руб.,34.99 руб.,DENT
278621,Комплект для кошек GAMMA шлейка и поводок,319.99 руб.,49.99 руб.,GAMMA
278668,"Лакомство для собак TRIOL Кость из жил 16см 2шт, 165г",449.99 руб.,389.99 руб.,TRIOL
288799,"Наполнитель для кошачьего туалета ЛЕНТА комкующийся, 5кг",369.99 руб.,289.99 руб.,ЛЕНТА
289595,"Корм сухой для взрослых собак PEDIGREE с говядиной, для маленьких пород, 2,2кг",604.99 руб.,524.99 руб.,PEDIGREE
289596,"Корм сухой для взрослых собак PEDIGREE Говядина, для малых пород, 600г",229.99 руб.,159.99 руб.,PEDIGREE
295027,"Корм сухой для котят WHISKAS Вкусные подушечки, Аппетитное ассорти с индейкой и морковью, 350г",159.99 руб.,159.99 руб.,WHISKAS
296845,"Корм сухой для взрослых кошек PURINA ONE Sterilised с говядиной и пшеницей для стерилизованных, 750г",354.99 руб.,354.99 руб.,PURINA ONE
299691,"Корм консервированный для щенков PEDIGREE с говядиной в соусе, от 1 месяца, полнорационный, 85г",29.99 руб.,24.99 руб.,PEDIGREE
338283,"Корм сухой для взрослых собак PURINA ONE Mini Активная Курица и рис, 600г",299.99 руб.,274.99 руб.,PURINA ONE
338287,"Корм сухой для взрослых собак PURINA ONE Говядина и рис, 600г",299.99 руб.,274.99 руб.,PURINA ONE
338329,"Корм сухой для взрослых собак PURINA ONE Mini Чувствительная с лососем и рисом, 600г",299.99 руб.,274.99 руб.,PURINA ONE
349953,"Корм сухой для взрослых собак PURINA ONE Mini Здоровый вес Индейка и рис, 1,5кг",559.99 руб.,489.99 руб.,PURINA ONE
349954,"Корм сухой для взрослых собак PURINA ONE Mini Активная Курица и рис, 1,5кг",559.99 руб.,489.99 руб.,PURINA ONE
349955,"Корм сухой для взрослых кошек PURINA ONE Housecat с индейкой и цельными злаками, 1,5кг",829.99 руб.,679.99 руб.,PURINA ONE
349956,"Корм сухой для взрослых кошек PURINA ONE Sterilised с лососем и пшеницей, для стерилизованных, 1,5кг",829.99 руб.,679.99 руб.,PURINA ONE
354359,"Корм сухой для взрослых кошек PURINA ONE Adult с говядиной с цельными злаками, 750г",354.99 руб.,354.99 руб.,PURINA ONE
356416,"Корм сухой для кошек KITEKAT с аппетитной телятинкой, 800г",199.99 руб.,199.99 руб.,KITEKAT
356439,"Корм сухой для кошек KITEKAT Мясной пир, 800г",199.99 руб.,199.99 руб.,KITEKAT
356440,"Корм сухой для кошек KITEKAT Мясной пир, 1,9кг",484.99 руб.,484.99 руб.,KITEKAT
356441,"Корм сухой для кошек KITEKAT Аппетитная курочка, 800г",199.99 руб.,199.99 руб.,KITEKAT
357988,"Корм сухой для кошек WHISKAS Вкусные подушечки с курицей, для стерилизованных кошек, 350г",159.99 руб.,159.99 руб.,WHISKAS
360341,"Наполнитель силикагелевый для кошачьего туалета СИ СИ КЭТ впитывающий, 3.8л",699.99 руб.,399.99 руб.,СИ СИ КЭТ
370086,"Корм сухой для котят PERFECT FIT с курицей, до 12 месяцев полнорационный, 650г",449.99 руб.,289.99 руб.,PERFECT FIT
370139,"Корм сухой для взрослых кошек PERFECT FIT с курицей, для живущих в помещении, 650г",449.99 руб.,289.99 руб.,PERFECT FIT
370142,"Корм сухой для кошек PERFECT FIT с курицей для стерилизованных, 650г",449.99 руб.,289.99 руб.,PERFECT FIT
374616,"Пеленки для животных 365 ДНЕЙ одноразовые 60x40см, 30шт",479.99 руб.,299.99 руб.,365 ДНЕЙ
378658,"Корм сухой для взрослых кошек WHISKAS Вкусные подушечки с нежным паштетом, Аппетитный обед с лососем, 350г",159.99 руб.,159.99 руб.,WHISKAS
378659,"Корм сухой для взрослых кошек WHISKAS Вкусные подушечки с нежным паштетом, Аппетитный обед с говядиной, 350г",159.99 руб.,159.99 руб.,WHISKAS
378662,"Корм сухой для взрослых кошек WHISKAS Вкусные подушечки с нежным паштетом, Аппетитное ассорти с курицей и индейкой, 350г",159.99 руб.,159.99 руб.,WHISKAS
378667,"Корм консервированный для взрослых кошек KITEKAT Сочная говядина с 
говядиной в желе, 85г",18.99 руб.,18.99 руб.,KITEKAT
378669,"Корм консервированный для кошек KITEKAT c сочными кусочками курицы в соусе, 85г",18.99 руб.,18.99 руб.,KITEKAT
381173,"Корм консервированный для собак BRIT Говядина и сердце, 850г",299.99 руб.,239.99 руб.,BRIT
383907,"Игрушка для собак TRIOL из латекса, в ассортименте, 24см",329.99 руб.,249.99 руб.,TRIOL
383928,Игрушка для кошек TRIOL Удочка-дразнилка гибкая с перьями 185/550мм,199.99 руб.,199.99 руб.,TRIOL
387340,"Корм сухой для взрослых кошек PURINA ONE Housecat с индейкой и цельными злаками, 3кг",1599.0 руб.,1359.0 руб.,PURINA ONE
399739,"Лакомство для кошек DREAMIES Подушечки с курицей, 140г",179.99 руб.,149.99 руб.,DREAMIES
399761,"Лакомство для кошек DREAMIES Подушечки с говядиной, 140г",179.99 руб.,149.99 руб.,DREAMIES
429323,"Салфетки влажные для уборки за животными ЛЕНТА, 30шт",49.99 руб.,39.99 руб.,ЛЕНТА
429669,"Корм сухой для взрослых кошек PERFECT FIT с индейкой, с чувствительным пищеварением, 1,2кг",699.99 руб.,699.99 руб.,PERFECT FIT
429695,"Корм сухой для взрослых кошек PERFECT FIT с индейкой, с чувствительным пищеварением, 650г",449.99 руб.,449.99 руб.,PERFECT FIT
429942,"Миска для животных TRIOL металлическая двойная на подставке, 2х0.23мл",399.99 руб.,299.99 руб.,TRIOL
449386,"Лакомство для собак TRIOL Аппетитные Колбаски из курицы, 40г",199.99 руб.,159.99 руб.,TRIOL
449389,"Лакомство для собак TRIOL Аппетитные Колбаски из ягненка, 40г",199.99 руб.,124.99 руб.,TRIOL
460208,"Корм сухой для котят PURINA ONE Kitten с курицей и цельными злаками, 750г",354.99 руб.,354.99 руб.,PURINA ONE
470608,Миска для животных 365 ДНЕЙ двойная 150/250мл,149.99 руб.,104.99 руб.,365 ДНЕЙ
488626,"Корм сухой для взрослых кошек PURINA ONE Sterilised с курицей и цельными злаками, 750г",354.99 руб.,354.99 руб.,PURINA ONE
488788,"Корм сухой для взрослых кошек PURINA ONE Sterilised с курицей и цельными злаками, 1,5кг",829.99 руб.,679.99 руб.,PURINA ONE
496851,"Корм влажный для взрослых кошек FELIX Суп с говядиной в соусе, 48г",23.99 руб.,23.99 руб.,FELIX
496852,"Корм влажный для взрослых кошек FELIX Суп с курицей в соусе, 48г",23.99 руб.,23.99 руб.,FELIX
496853,"Корм влажный для взрослых кошек FELIX Суп с треской в соусе, 48г",23.99 руб.,23.99 руб.,FELIX
499059,"Корм сухой для взрослых кошек PURINA ONE Superfood с курицей, 180г",129.99 руб.,129.99 руб.,PURINA ONE
499060,"Корм сухой для взрослых кошек PURINA ONE Superfood с говядиной, для стерилизованных, 680г",354.99 руб.,354.99 руб.,PURINA ONE
499067,"Корм сухой для взрослых кошек BRIT Premium Cat Adult Salmon с лососем, 800г",499.99 руб.,374.99 руб.,BRIT
510872,"Лакомство для кошек DREAMIES Подушечки с мятой и курицей, 60г",74.99 руб.,69.99 руб.,DREAMIES
519119,"Наполнитель растительный для кошачьего туалета CAT STEP Tofu Green Tea комкующийся, 6л",1099.0 руб.,984.99 руб.,CAT STEP
523796,"Корм влажный для взрослых кошек PURINA ONE Adult с говядиной и морковью в соусе, 75г",34.99 руб.,29.99 руб.,PURINA ONE
523836,"Корм влажный для взрослых кошек PURINA ONE Housecat с курицей и морковью в соусе, 75г",34.99 руб.,29.99 руб.,PURINA ONE
523837,"Корм влажный для взрослых кошек PURINA ONE Sensitive с курицей и морковью в соусе, 75г",34.99 руб.,29.99 руб.,PURINA ONE
523866,"Корм влажный для котят PURINA ONE Kitten с курицей и морковью в соусе, 75г",34.99 руб.,29.99 руб.,PURINA ONE
523867,"Корм влажный для взрослых кошек PURINA ONE Sterilised с курицей и зеленой фасолью в соусе, 75г",34.99 руб.,29.99 руб.,PURINA ONE
528569,"Корм влажный для взрослых собак PURINA ONE Mini Говядина, картофель и горох в подливе, 85г",34.99 руб.,29.99 руб.,PURINA ONE
528570,"Корм влажный для взрослых собак PURINA ONE Mini Чувствительная Лосось, рис и морковь в подливе, 85г",34.99 руб.,29.99 руб.,PURINA ONE
528591,"Корм влажный для взрослых собак PURINA ONE Mini Курица, морковь, зеленая фасоль в подливе, 85г",34.99 руб.,29.99 руб.,PURINA ONE
528592,"Корм влажный для взрослых собак PURINA ONE Mini Контроль веса Индейка, морковь, горох в подливе, 85г",34.99 руб.,29.99 руб.,PURINA ONE
528599,"Корм влажный для взрослых собак PURINA ONE Mini Активная Утка, паста и зеленая фасоль в подливе, 85г",34.99 руб.,29.99 руб.,PURINA ONE
543397,"Корм сухой для котят FELIX Двойная вкуснятина с курочкой, до года, 600г",259.99 руб.,229.99 руб.,FELIX
543876,"Корм консервированный для взрослых собак PEDIGREE с кроликом и индейкой в соусе, для всех пород, 85г",29.99 руб.,24.99 руб.,PEDIGREE
543877,"Корм консервированный для взрослых собак PEDIGREE желе с телятиной и печенью, для всех пород, 85г",29.99 руб.,24.99 руб.,PEDIGREE
544071,"Корм консервированный для взрослых собак CESAR жаркое с уткой, для всех пород, 85г",37.99 руб.,37.99 руб.,CESAR
544078,"Корм консервированный для взрослых собак PEDIGREE паштет с говядиной, для миниатюрных пород, 80г",29.99 руб.,24.99 руб.,PEDIGREE
544090,"Корм консервированный для взрослых собак CESAR с говядиной и овощами, для всех пород, 85г",37.99 руб.,37.99 руб.,CESAR
544091,"Корм консервированный для взрослых собак CESAR с говядиной, кроликом в соусе со шпинатом, для всех пород, 85г",37.99 руб.,37.99 руб.,CESAR
553059,"Лакомство для кошек DREAMIES с индейкой, 140г",179.99 руб.,149.99 руб.,DREAMIES
562447,"Корм сухой для взрослых кошек FELIX Мясное объедение с курицей, 600г",259.99 руб.,229.99 руб.,FELIX
562530,"Корм сухой для взрослых кошек FELIX Мясное объедение с курицей, 200г",104.99 руб.,89.99 руб.,FELIX
562531,"Корм сухой для взрослых кошек FELIX Мясное объедение с курицей, 1,3кг",599.99 руб.,419.99 руб.,FELIX
562568,"Корм сухой для взрослых кошек FELIX Мясное объедение с говядиной, 600г",259.99 руб.,229.99 руб.,FELIX
567725,"Корм консервированный для взрослых кошек SHEBA Craft Collection Курица в соусе, сочные слайсы, 75г",37.99 руб.,29.99 руб.,SHEBA
568463,"Корм консервированный для взрослых кошек ГУРМЭ Натуральные рецепты Тушеная говядина с томатами, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
568661,"Корм консервированный для взрослых кошек ГУРМЭ Натуральные рецепты Лосось-гриль с зеленой фасолью, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
568662,"Корм консервированный для взрослых кошек ГУРМЭ Натуральные рецепты Томленая индейка с горошком, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
569422,"Шампунь для собак и кошек WONDER LAB универсальный без запаха и аллергических реакций, 480мл",249.99 руб.,199.99 руб.,WONDER LAB
576805,"Корм консервированный для взрослых кошек WHISKAS желе с говядиной и ягненком, 75г",31.99 руб.,24.99 руб.,WHISKAS
576806,"Корм консервированный для взрослых кошек WHISKAS желе с лососем, 75г",31.99 руб.,24.99 руб.,WHISKAS
576807,"Корм консервированный для взрослых кошек WHISKAS желе с курицей, 75г",31.99 руб.,24.99 руб.,WHISKAS
576855,"Корм консервированный для взрослых кошек WHISKAS желе с говядиной и кроликом, 75г",31.99 руб.,24.99 руб.,WHISKAS
576857,"Корм консервированный для котят WHISKAS рагу с курицей 1–12 месяцев, 75г",31.99 руб.,24.99 руб.,WHISKAS
576958,"Корм консервированный для взрослых кошек WHISKAS желе с курицей и индейкой, 75г",31.99 руб.,24.99 руб.,WHISKAS
576960,"Корм консервированный для взрослых кошек WHISKAS рагу с треской и лососем, 75г",31.99 руб.,24.99 руб.,WHISKAS
576965,"Корм консервированный для котят WHISKAS паштет с курицей, 75г",31.99 руб.,24.99 руб.,WHISKAS
576970,"Корм консервированный для взрослых кошек WHISKAS паштет мясной с говядиной и печенью, полнорационный, 75г",31.99 руб.,24.99 руб.,WHISKAS
578395,"Лакомство для кошек TITBIT Золотая Коллекция колбаски Посольские, 20г",39.99 руб.,29.99 руб.,TITBIT
578433,"Лакомство для кошек TITBIT Золотая Коллекция колбаски Сливочные, 20г",39.99 руб.,29.99 руб.,TITBIT
580263,"Корм консервированный для взрослых кошек WHISKAS Мясная коллекция желе с кроликом, 75г",31.99 руб.,24.99 руб.,WHISKAS
580278,"Корм консервированный для взрослых кошек WHISKAS Мясная коллекция Курица в соусе, 75г",31.99 руб.,24.99 руб.,WHISKAS
580279,"Корм консервированный для взрослых кошек WHISKAS Аппетитный микс желе с говядиной, языком и овощами, 75г",31.99 руб.,24.99 руб.,WHISKAS
580290,"Корм консервированный для взрослых кошек WHISKAS Аппетитный микс рагу с уткой и печенью, 75г",31.99 руб.,24.99 руб.,WHISKAS
582471,"Игрушка для собак TRIOL Mini Dogs веревка, для мелких пород",159.99 руб.,119.99 руб.,TRIOL
582714,"Корм консервированный для взрослых кошек PERFECT FIT Sterile паштет с говядиной, для стерилизованных, 75г",37.99 руб.,29.99 руб.,PERFECT FIT
582715,"Корм консервированный для взрослых кошек PERFECT FIT Sterile паштет с индейкой, для стерилизованных, 75г",37.99 руб.,29.99 руб.,PERFECT FIT
582716,"Корм консервированный для взрослых кошек PERFECT FIT Sensitive с индейкой в соусе, для чувствительного пищеварения, 75г",37.99 руб.,29.99 руб.,PERFECT FIT
582717,"Корм консервированный для взрослых кошек PERFECT FIT Sterile с говядиной в соусе, для стерилизованных, 75г",37.99 руб.,29.99 руб.,PERFECT FIT
582748,"Корм консервированный для взрослых кошек PERFECT FIT Sterile с кроликом в соусе, для стерилизованных, 75г",37.99 руб.,29.99 руб.,PERFECT FIT
582749,"Корм консервированный для взрослых кошек PERFECT FIT Sensitive с лососем в соусе, для чувствительного пищеварения, 75г",37.99 руб.,29.99 руб.,PERFECT FIT
582750,"Корм консервированный для взрослых кошек PERFECT FIT Hair&Skin с индейкой в соусе, для красивой шерсти и здоровой кожи, 75г",37.99 руб.,29.99 руб.,PERFECT FIT
582751,"Корм консервированный для взрослых кошек PERFECT FIT Sterile с курицей в соусе, для стерилизованных, 75г",37.99 руб.,29.99 руб.,PERFECT FIT
582752,"Корм консервированный для взрослых кошек PERFECT FIT Adult с говядиной в соусе, 75г",37.99 руб.,29.99 руб.,PERFECT FIT
586072,"Корм влажный для взрослых кошек FELIX Мясные ломтики с говядиной в соусе, 75г",28.99 руб.,24.99 руб.,FELIX
586092,"Корм влажный для взрослых кошек FELIX Мясные ломтики с курицей в соусе, 75г",28.99 руб.,24.99 руб.,FELIX
586110,"Корм влажный для взрослых кошек FELIX Мясные ломтики с уткой в соусе, 75г",28.99 руб.,24.99 руб.,FELIX
587516,"Корм сухой для взрослых собак PERFECT FIT с курицей, для мелких и мини пород, 1,2кг",589.99 руб.,409.99 руб.,PERFECT FIT
587701,"Корм консервированный для котят PERFECT FIT с курицей в соусе 1–12 месяцев, 75г",37.99 руб.,29.99 руб.,PERFECT FIT
602308,"Лакомство для собак TRIOL Рубец говяжий Мини-кусочки, для мини пород, 25г",199.99 руб.,149.99 руб.,TRIOL
607603,"Лакомство для кошек HUNTY Хрустящие подушечки c уткой, 60г",69.99 руб.,44.99 руб.,HUNTY
610676,"Корм консервированный для взрослых кошек SHEBA ломтики в соусе с лососем, 75г",37.99 руб.,29.99 руб.,SHEBA
610692,"Корм консервированный для взрослых кошек SHEBA ломтики в соусе с говядиной и кроликом, 75г",37.99 руб.,29.99 руб.,SHEBA
610693,"Корм консервированный для взрослых кошек SHEBA ломтики в соусе с говядиной, 75г",37.99 руб.,29.99 руб.,SHEBA
610695,"Корм консервированный для взрослых кошек SHEBA ломтики в желе с курицей, 75г",37.99 руб.,29.99 руб.,SHEBA
610789,"Корм консервированный для взрослых кошек SHEBA ломтики в соусе с форелью и креветками, 75г",37.99 руб.,29.99 руб.,SHEBA
610790,"Корм консервированный для взрослых кошек SHEBA ломтики в соусе с уткой, 75г",37.99 руб.,29.99 руб.,SHEBA
611241,"Корм консервированный для взрослых кошек ГУРМЭ Перл Нежное филе с говядиной в соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
611242,"Корм консервированный для взрослых кошек ГУРМЭ Перл Нежное филе с ягненком в соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
611243,"Корм консервированный для взрослых кошек ГУРМЭ Перл Нежное филе с индейкой в соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
611244,"Корм консервированный для взрослых кошек ГУРМЭ Перл Нежное филе с курицей в соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
611245,"Корм консервированный для взрослых кошек ГУРМЭ Перл Нежное филе с лососем в соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
611246,"Корм консервированный для взрослых кошек ГУРМЭ Перл Нежное филе с уткой в соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
611247,"Корм консервированный для взрослых кошек ГУРМЭ Перл Нежное филе со вкусом кролика в соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
611248,"Корм консервированный для взрослых кошек ГУРМЭ Перл Соус Де-люкс с говядиной в роскошном соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
611249,"Корм консервированный для взрослых кошек ГУРМЭ Перл Соус Де-люкс с курицей в роскошном соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
611250,"Корм консервированный для взрослых кошек ГУРМЭ Перл Соус Де-люкс с лососем в роскошном соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
611251,"Корм консервированный для взрослых кошек ГУРМЭ Перл Соус Де-люкс с телятиной в роскошном соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
629945,"Корм консервированный для взрослых кошек SHEBA Nature's Collection с курицей, сладким перцем и морковью, 75г",37.99 руб.,29.99 руб.,SHEBA
631947,"Игрушка для собак ГАВ ГАМЫЧ Кольцо, 18см",399.99 руб.,399.99 руб.,GAMMA
632202,"Игрушка для собак ГАВ ГАМЫЧ Кольцо, 19,5см",699.99 руб.,499.99 руб.,GAMMA
637185,"Корм сухой для взрослых кошек FELIX Двойная вкуснятина с птицей, 600г",259.99 руб.,229.99 руб.,FELIX
637203,"Корм сухой для взрослых кошек FELIX Двойная вкуснятина с мясом, 200г",104.99 руб.,89.99 руб.,FELIX
638538,"Корм влажный для взрослых кошек PURINA ONE Sterilised с говядиной и морковью в соусе, 75г",34.99 руб.,29.99 руб.,PURINA ONE
642057,"Корм консервированный для взрослых кошек ГУРМЭ Perle Курица и кролик в 
соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
642065,"Корм консервированный для взрослых кошек ГУРМЭ Perle Креветка и лосось в соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
642154,"Корм консервированный для взрослых кошек ГУРМЭ Perle Язык и телятина в соусе, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
658156,"Лакомства для взрослых собак TITBIT XXL Колбаски телячьи, 420г",449.99 руб.,349.99 руб.,TITBIT
658644,"Корм влажный для взрослых кошек FELIX Аппетитные кусочки Курица в желе, 75г",28.99 руб.,24.99 руб.,FELIX
658646,"Корм влажный для взрослых кошек FELIX Аппетитные кусочки Говядина в желе, 75г",28.99 руб.,24.99 руб.,FELIX
658732,"Корм влажный для взрослых кошек FELIX Природа вкуса Говядина, 75г",28.99 руб.,22.99 руб.,FELIX
658802,"Корм влажный для взрослых кошек FELIX Аппетитные кусочки Лосось в желе, 75г",28.99 руб.,24.99 руб.,FELIX
658804,"Корм влажный для взрослых кошек FELIX Аппетитные кусочки Ягненок в желе, 75г",28.99 руб.,24.99 руб.,FELIX
658806,"Корм влажный для взрослых кошек FELIX Sensations Говядина в желе с томатами, 75г",28.99 руб.,24.99 руб.,FELIX
658807,"Корм влажный для взрослых кошек FELIX Sensations Утка в желе со шпинатом, 75г",28.99 руб.,24.99 руб.,FELIX
658810,"Корм влажный для взрослых кошек FELIX Природа вкуса Лосось, 75г",28.99 руб.,22.99 руб.,FELIX
658811,"Корм влажный для взрослых кошек FELIX Природа вкуса Курица, 75г",28.99 руб.,22.99 руб.,FELIX
658819,"Корм влажный для взрослых кошек FELIX Sensations Треска в соусе с томатами, 75г",28.99 руб.,24.99 руб.,FELIX
658821,"Корм влажный для взрослых кошек FELIX Двойная вкуснятина Ягненок и курица в желе, 75г",28.99 руб.,24.99 руб.,FELIX
658828,"Корм влажный для котят FELIX Аппетитные кусочки Курица в желе, 75г",28.99 руб.,24.99 руб.,FELIX
658829,"Корм влажный для взрослых кошек FELIX Sensations Говядина в соусе с томатами, 75г",28.99 руб.,24.99 руб.,FELIX
658830,"Корм влажный для взрослых кошек FELIX Sensations Курица в желе с морковью, 75г",28.99 руб.,24.99 руб.,FELIX
658831,"Корм влажный для взрослых кошек FELIX Sensations Утка в соусе с морковью, 75г",28.99 руб.,24.99 руб.,FELIX
658832,"Корм влажный для взрослых кошек FELIX Sensations Индейка в соусе со вкусом бекона, 75г",28.99 руб.,24.99 руб.,FELIX
658833,"Корм влажный для взрослых кошек FELIX Двойная вкуснятина Говядина и домашняя птица в желе, 75г",28.99 руб.,24.99 руб.,FELIX
658834,"Корм влажный для взрослых кошек FELIX Двойная вкуснятина Лосось и форель в желе, 75г",28.99 руб.,24.99 руб.,FELIX
659625,"Игрушка для собак TRIOL Мяч, резина",139.99 руб.,94.99 руб.,TRIOL
670795,"Экопенка для мытья лап WONDER LAB, 450мл",299.99 руб.,229.99 руб.,WONDER LAB
671145,"Корм сухой для взрослых собак HUNTY с говядиной, для всех пород, 2,2кг",549.99 руб.,349.99 руб.,HUNTY
671146,"Корм консервированный для собак HUNTY сочные кусочки в желе с кроликом, 850г",169.99 руб.,129.99 руб.,HUNTY
671147,"Корм консервированный для собак HUNTY сочные кусочки в желе с говядиной, 850г",199.99 руб.,129.99 руб.,HUNTY
671188,"Корм сухой для взрослых собак HUNTY с говядиной, для мелких пород, 2,2кг",549.99 руб.,349.99 руб.,HUNTY
676311,"Корм сухой для собак ALPHAPET WOW Superpremium с индейкой и рисом, для мелких пород, 500г",349.99 руб.,274.99 руб.,ALPHAPET
676322,"Корм сухой для кошек ALPHAPET WOW Superpremium c цыпленком, для стерилизованных, 350г",349.99 руб.,274.99 руб.,ALPHAPET
676324,"Корм сухой для кошек ALPHAPET WOW Superpremium с индейкой и потрошками, для стерилизованных, 350г",349.99 руб.,274.99 руб.,ALPHAPET
679454,"Корм влажный для взрослых кошек ГУРМЭ Желе Де-Люкс с курицей, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
679455,"Корм влажный для взрослых кошек ГУРМЭ Желе Де-Люкс с лососем, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
680701,"Корм консервированный для кошек SHEBA Нежный паштет в желе Курица, 75г",37.99 руб.,29.99 руб.,SHEBA
680702,"Корм консервированный для кошек SHEBA Нежный паштет в желе Говядина, 75г",37.99 руб.,29.99 руб.,SHEBA
680814,"Корм консервированный для кошек SHEBA Нежный паштет в желе Индейка, 75г",37.99 руб.,29.99 руб.,SHEBA
680821,"Корм консервированный для кошек SHEBA Нежный паштет в желе Лосось, 75г",37.99 руб.,29.99 руб.,SHEBA
682463,"Корм консервированный для взрослых кошек PERFECT FIT Иммунитет с говядиной в желе с добавлением льна, 75г",37.99 руб.,29.99 руб.,PERFECT FIT
683653,"Корм консервированный для кошек BRIT Воздушный паштет Форель, для стерилизованных, 100г",99.99 руб.,84.99 руб.,BRIT
683664,"Корм консервированный для кошек BRIT Воздушный паштет Курица, для стерилизованных, 100г",119.99 руб.,94.99 руб.,BRIT
683737,"Корм консервированный для кошек BRIT Воздушный паштет Индейка, при чувствительном пищеварении, 100г",119.99 руб.,94.99 руб.,BRIT
685506,"Корм сухой для взрослых собак ДАРЛИНГ с мясом и добавлением овощей, 2кг",429.99 руб.,364.99 руб.,ДАРЛИНГ
685660,"Корм влажный для взрослых кошек ДАРЛИНГ с уткой в подливе, 75г",22.99 руб.,22.99 руб.,ДАРЛИНГ
685662,"Корм влажный для взрослых собак ДАРЛИНГ Кусочки с ягненком в подливе, 75г",21.99 руб.,21.99 руб.,ДАРЛИНГ
685704,"Корм влажный для взрослых кошек ДАРЛИНГ с говядиной в подливе, 75г",22.99 руб.,22.99 руб.,ДАРЛИНГ
685705,"Корм влажный для взрослых кошек ДАРЛИНГ с ягненком в подливе, 75г",22.99 руб.,22.99 руб.,ДАРЛИНГ
685706,"Корм влажный для взрослых собак ДАРЛИНГ Кусочки с говядиной в подливе, 75г",21.99 руб.,21.99 руб.,ДАРЛИНГ
685749,"Корм влажный для взрослых кошек ДАРЛИНГ с курицей в подливе, 75г",22.99 руб.,22.99 руб.,ДАРЛИНГ
685750,"Корм влажный для взрослых кошек ДАРЛИНГ с лососем в подливе, 75г",22.99 руб.,22.99 руб.,ДАРЛИНГ
685780,"Корм сухой для взрослых кошек ДАРЛИНГ с мясом и добавлением овощей, 760г",269.99 руб.,204.99 руб.,ДАРЛИНГ
685788,"Корм сухой для взрослых кошек ДАРЛИНГ с птицей и добавлением овощей, 760г",269.99 руб.,204.99 руб.,ДАРЛИНГ
688631,"Корм сухой для взрослых кошек PERFECT FIT Иммунитет с говядиной и добавлением семян льна и голубики, 1,1кг",699.99 руб.,699.99 руб.,PERFECT FIT
694994,"Корм консервированный для кошек PURINA ONE с уткой и индейкой, для особенно привередливых к вкусу, 75г",34.99 руб.,29.99 руб.,PURINA ONE
